Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,11,Málaga CF,Real Betis,74,73,74,73,71,68,-0.3,-0.6,0,1
2015,11,Athletic Bilbao,Espanyol Barcelona,77,77,77,76,73,72,0.3,-1.0,2,1
2015,11,FC Barcelona,Villarreal CF,88,85,81,78,76,74,1.0,0.7,3,0
2015,11,Atlético Madrid,Sporting Gijón,81,78,79,63,67,70,0.9,-0.3,1,0
2015,11,Sevilla FC,Real Madrid,79,76,77,86,83,81,0.0,2.0,3,2
2015,12,Real Sociedad,Sevilla FC,78,76,76,79,76,77,-0.18181818181818182,0.09090909090909091,2,0
2015,12,Real Madrid,FC Barcelona,86,83,81,88,85,81,1.7272727272727273,1.1818181818181819,0,4
2015,12,Espanyol Barcelona,Málaga CF,76,73,72,74,73,74,-1.0,-0.36363636363636365,2,0
2015,12,Valencia CF,UD Las Palmas,81,79,77,73,70,67,0.7272727272727273,-0.6363636363636364,1,1
2015,12,Deportivo La Coruña,Celta Vigo,71,72,72,75,74,73,0.2727272727272727,0.36363636363636365,2,0
2015,12,Sporting Gijón,Levante UD,63,67,70,73,71,73,-0.36363636363636365,-1.4545454545454546,0,3
2015,12,Villarreal CF,SD Eibar,78,76,74,72,72,72,0.36363636363636365,0.45454545454545453,1,1
2015,12,Granada CF,Athletic Bilbao,72,74,72,77,77,77,-0.8181818181818182,0.36363636363636365,2,0
2015,12,Real Betis,Atlético Madrid,73,71,68,81,78,79,-0.45454545454545453,0.9090909090909091,0,1
2015,12,Getafe CF,Rayo Vallecano,72,73,69,75,73,75,-0.6363636363636364,-0.5454545454545454,1,1
2015,13,Levante UD,Real Betis,73,71,73,73,71,68,-1.0833333333333333,-0.5,0,1
2015,13,FC Barcelona,Real Sociedad,88,85,81,78,76,76,1.4166666666666667,0.0,4,0
